
"Склады отгрузки";Weeks;Cubes
;;вместимость
Склад1||Склад1_о;W1;20000
Склад1||Склад1_о;W2;20000
Склад1||Склад1_о;W3;20000
Склад1||Склад1_о;W4;20000
Склад1||Склад1_о;W5;20000
Склад1||Склад1_о;W6;20000
Склад1||Склад1_о;W7;20000
Склад1||Склад1_о;W8;20000
Склад1||Склад1_о;W9;20000
Склад1||Склад1_о;W10;20000
Склад1||Склад1_о;W11;20000
Склад1||Склад1_о;W12;20000
Склад1||Склад1_о;W13;20000
Склад1||Склад1_о;W14;20000
Склад1||Склад1_о;W15;20000
Склад1||Склад1_о;W16;20000
Склад1||Склад1_о;W17;20000
Склад1||Склад1_о;W18;20000
Склад1||Склад1_о;W19;20000
Склад1||Склад1_о;W20;20000
Склад1||Склад1_о;W21;20000
Склад1||Склад1_о;W22;20000
Склад1||Склад1_о;W23;20000
Склад1||Склад1_о;W24;20000
Склад1||Склад1_о;W25;20000
Склад1||Склад1_о;W26;20000
Склад1||Склад1_о;W27;20000
Склад1||Склад1_о;W28;20000
Склад1||Склад1_о;W29;20000
Склад1||Склад1_о;W30;20000
Склад1||Склад1_о;W31;20000
Склад1||Склад1_о;W32;20000
Склад1||Склад1_о;W33;20000
Склад1||Склад1_о;W34;20000
Склад1||Склад1_о;W35;20000
Склад1||Склад1_о;W36;20000
Склад1||Склад1_о;W37;20000
Склад1||Склад1_о;W38;20000
Склад1||Склад1_о;W39;20000
Склад1||Склад1_о;W40;20000
Склад1||Склад1_о;W41;20000
Склад1||Склад1_о;W42;20000
Склад1||Склад1_о;W43;20000
Склад1||Склад1_о;W44;20000
Склад1||Склад1_о;W45;20000
Склад1||Склад1_о;W46;20000
Склад1||Склад1_о;W47;20000
Склад1||Склад1_о;W48;20000
Склад1||Склад1_о;W49;20000
Склад1||Склад1_о;W50;20000
Склад1||Склад1_о;W51;20000
Склад1||Склад1_о;W52;20000
Склад1||Склад1_о;W53;20000
Склад2||Склад2_о;W1;8589
Склад2||Склад2_о;W2;8589
Склад2||Склад2_о;W3;8589
Склад2||Склад2_о;W4;8589
Склад2||Склад2_о;W5;8589
Склад2||Склад2_о;W6;8589
Склад2||Склад2_о;W7;8589
Склад2||Склад2_о;W8;8589
Склад2||Склад2_о;W9;8589
Склад2||Склад2_о;W10;8589
Склад2||Склад2_о;W11;8589
Склад2||Склад2_о;W12;8589
Склад2||Склад2_о;W13;8589
Склад2||Склад2_о;W14;8589
Склад2||Склад2_о;W15;8589
Склад2||Склад2_о;W16;8589
Склад2||Склад2_о;W17;8589
Склад2||Склад2_о;W18;8589
Склад2||Склад2_о;W19;8589
Склад2||Склад2_о;W20;8589
Склад2||Склад2_о;W21;8589
Склад2||Склад2_о;W22;8589
Склад2||Склад2_о;W23;8589
Склад2||Склад2_о;W24;8589
Склад2||Склад2_о;W25;8589
Склад2||Склад2_о;W26;8589
Склад2||Склад2_о;W27;8589
Склад2||Склад2_о;W28;8589
Склад2||Склад2_о;W29;8589
Склад2||Склад2_о;W30;8589
Склад2||Склад2_о;W31;8589
Склад2||Склад2_о;W32;8589
Склад2||Склад2_о;W33;8589
Склад2||Склад2_о;W34;8589
Склад2||Склад2_о;W35;8589
Склад2||Склад2_о;W36;8589
Склад2||Склад2_о;W37;8589
