
"Склады отгрузки";Weeks;Cubes
;;вместимость
Склад1||Склад1_о;W1;20000
Склад1||Склад1_о;W2;20000
Склад1||Склад1_о;W3;19947
Склад1||Склад1_о;W4;19474
Склад1||Склад1_о;W5;19662
Склад1||Склад1_о;W6;19302
Склад1||Склад1_о;W7;18824
Склад1||Склад1_о;W8;18149
Склад1||Склад1_о;W9;18548
Склад1||Склад1_о;W10;19213
Склад1||Склад1_о;W11;19234
Склад1||Склад1_о;W12;18442
Склад1||Склад1_о;W13;17356
Склад1||Склад1_о;W14;17808
Склад1||Склад1_о;W15;18346
Склад1||Склад1_о;W16;17982
Склад1||Склад1_о;W17;17863
Склад1||Склад1_о;W18;18750
Склад1||Склад1_о;W19;17701
Склад1||Склад1_о;W20;17515
Склад1||Склад1_о;W21;16407
Склад1||Склад1_о;W22;18348
Склад1||Склад1_о;W23;18182
Склад1||Склад1_о;W24;17596
Склад1||Склад1_о;W25;18402
Склад1||Склад1_о;W26;18376
Склад1||Склад1_о;W27;18508
Склад1||Склад1_о;W28;18392
Склад1||Склад1_о;W29;18778
Склад1||Склад1_о;W30;18911
Склад1||Склад1_о;W31;19802
Склад1||Склад1_о;W32;19576
Склад1||Склад1_о;W33;19395
Склад1||Склад1_о;W34;19717
Склад1||Склад1_о;W35;20000
Склад1||Склад1_о;W36;20000
Склад1||Склад1_о;W37;20000
Склад1||Склад1_о;W38;20000
Склад1||Склад1_о;W39;20000
Склад1||Склад1_о;W40;20000
Склад1||Склад1_о;W41;20000
Склад1||Склад1_о;W42;20000
Склад1||Склад1_о;W43;20000
Склад1||Склад1_о;W44;20000
Склад1||Склад1_о;W45;20000
Склад1||Склад1_о;W46;20000
Склад1||Склад1_о;W47;20000
Склад1||Склад1_о;W48;20000
Склад1||Склад1_о;W49;20000
Склад1||Склад1_о;W50;20000
Склад1||Склад1_о;W51;20000
Склад1||Склад1_о;W52;20000
Склад1||Склад1_о;W53;20000
Склад2||Склад2_о;W1;8589
Склад2||Склад2_о;W2;8589
Склад2||Склад2_о;W3;8589
Склад2||Склад2_о;W4;8589
Склад2||Склад2_о;W5;8589
Склад2||Склад2_о;W6;8589
Склад2||Склад2_о;W7;8589
Склад2||Склад2_о;W8;8589
Склад2||Склад2_о;W9;8589
Склад2||Склад2_о;W10;8589
Склад2||Склад2_о;W11;8589
Склад2||Склад2_о;W12;8589
Склад2||Склад2_о;W13;8589
Склад2||Склад2_о;W14;8589
Склад2||Склад2_о;W15;8589
Склад2||Склад2_о;W16;8589
Склад2||Склад2_о;W17;8589
Склад2||Склад2_о;W18;8589
Склад2||Склад2_о;W19;8589
Склад2||Склад2_о;W20;8589
Склад2||Склад2_о;W21;8589
Склад2||Склад2_о;W22;8589
Склад2||Склад2_о;W23;8589
Склад2||Склад2_о;W24;8589
Склад2||Склад2_о;W25;8589
Склад2||Склад2_о;W26;8589
Склад2||Склад2_о;W27;8589
Склад2||Склад2_о;W28;8589
Склад2||Склад2_о;W29;8589
Склад2||Склад2_о;W30;8589
Склад2||Склад2_о;W31;8589
Склад2||Склад2_о;W32;8589
Склад2||Склад2_о;W33;8589
Склад2||Склад2_о;W34;8589
Склад2||Склад2_о;W35;8589
Склад2||Склад2_о;W36;8589
Склад2||Склад2_о;W37;8589
