
"Склады отгрузки";Weeks;Cubes
;;спрос
Склад1||Склад1_о;W1;0
Склад1||Склад1_о;W2;0
Склад1||Склад1_о;W3;53
Склад1||Склад1_о;W4;526
Склад1||Склад1_о;W5;338
Склад1||Склад1_о;W6;698
Склад1||Склад1_о;W7;1176
Склад1||Склад1_о;W8;1851
Склад1||Склад1_о;W9;1452
Склад1||Склад1_о;W10;787
Склад1||Склад1_о;W11;766
Склад1||Склад1_о;W12;1558
Склад1||Склад1_о;W13;2644
Склад1||Склад1_о;W14;2192
Склад1||Склад1_о;W15;1654
Склад1||Склад1_о;W16;2018
Склад1||Склад1_о;W17;2137
Склад1||Склад1_о;W18;1250
Склад1||Склад1_о;W19;2299
Склад1||Склад1_о;W20;2485
Склад1||Склад1_о;W21;3593
Склад1||Склад1_о;W22;1652
Склад1||Склад1_о;W23;1818
Склад1||Склад1_о;W24;2404
Склад1||Склад1_о;W25;1598
Склад1||Склад1_о;W26;1624
Склад1||Склад1_о;W27;1492
Склад1||Склад1_о;W28;1608
Склад1||Склад1_о;W29;1222
Склад1||Склад1_о;W30;1089
Склад1||Склад1_о;W31;198
Склад1||Склад1_о;W32;424
Склад1||Склад1_о;W33;605
Склад1||Склад1_о;W34;283
Склад1||Склад1_о;W35;0
Склад1||Склад1_о;W36;0
Склад1||Склад1_о;W37;0
Склад1||Склад1_о;W38;0
Склад1||Склад1_о;W39;0
Склад1||Склад1_о;W40;0
Склад1||Склад1_о;W41;0
Склад1||Склад1_о;W42;0
Склад1||Склад1_о;W43;0
Склад1||Склад1_о;W44;0
Склад1||Склад1_о;W45;0
Склад1||Склад1_о;W46;0
Склад1||Склад1_о;W47;0
Склад1||Склад1_о;W48;0
Склад1||Склад1_о;W49;0
Склад1||Склад1_о;W50;0
Склад1||Склад1_о;W51;0
Склад1||Склад1_о;W52;0
Склад1||Склад1_о;W53;0
Склад2||Склад2_о;W1;0
Склад2||Склад2_о;W2;0
Склад2||Склад2_о;W3;0
Склад2||Склад2_о;W4;0
Склад2||Склад2_о;W5;0
Склад2||Склад2_о;W6;0
Склад2||Склад2_о;W7;0
Склад2||Склад2_о;W8;0
Склад2||Склад2_о;W9;0
Склад2||Склад2_о;W10;0
Склад2||Склад2_о;W11;0
Склад2||Склад2_о;W12;0
Склад2||Склад2_о;W13;0
Склад2||Склад2_о;W14;0
Склад2||Склад2_о;W15;0
Склад2||Склад2_о;W16;0
Склад2||Склад2_о;W17;0
Склад2||Склад2_о;W18;0
Склад2||Склад2_о;W19;0
Склад2||Склад2_о;W20;0
Склад2||Склад2_о;W21;0
Склад2||Склад2_о;W22;0
Склад2||Склад2_о;W23;0
Склад2||Склад2_о;W24;0
Склад2||Склад2_о;W25;0
Склад2||Склад2_о;W26;0
Склад2||Склад2_о;W27;0
Склад2||Склад2_о;W28;0
Склад2||Склад2_о;W29;0
Склад2||Склад2_о;W30;0
Склад2||Склад2_о;W31;0
Склад2||Склад2_о;W32;0
Склад2||Склад2_о;W33;0
Склад2||Склад2_о;W34;0
Склад2||Склад2_о;W35;0
Склад2||Склад2_о;W36;0
Склад2||Склад2_о;W37;0
Склад2||Склад2_о;W38;0
Склад2||Склад2_о;W39;0
Склад2||Склад2_о;W40;0
Склад2||Склад2_о;W41;0
Склад2||Склад2_о;W42;0
Склад2||Склад2_о;W43;0
Склад2||Склад2_о;W44;0
Склад2||Склад2_о;W45;0
Склад2||Склад2_о;W46;20
Склад2||Склад2_о;W47;458
Склад2||Склад2_о;W48;1374
Склад2||Склад2_о;W49;2096
Склад2||Склад2_о;W50;1692
Склад2||Склад2_о;W51;862
Склад2||Склад2_о;W52;593
Склад2||Склад2_о;W53;0
Склад3||Склад3_о;W1;0
Склад3||Склад3_о;W2;343
Склад3||Склад3_о;W3;1915
Склад3||Склад3_о;W4;1691
Склад3||Склад3_о;W5;2162
Склад3||Склад3_о;W6;2087
Склад3||Склад3_о;W7;2417
Склад3||Склад3_о;W8;3260
Склад3||Склад3_о;W9;2844
Склад3||Склад3_о;W10;3391
Склад3||Склад3_о;W11;2508
Склад3||Склад3_о;W12;3389
Склад3||Склад3_о;W13;4419
Склад3||Склад3_о;W14;3579
Склад3||Склад3_о;W15;2485
Склад3||Склад3_о;W16;3607
Склад3||Склад3_о;W17;5108
Склад3||Склад3_о;W18;4110
Склад3||Склад3_о;W19;3352
Склад3||Склад3_о;W20;4012
Склад3||Склад3_о;W21;3546
Склад3||Склад3_о;W22;4644
Склад3||Склад3_о;W23;4202
Склад3||Склад3_о;W24;5126
Склад3||Склад3_о;W25;3469
Склад3||Склад3_о;W26;4242
Склад3||Склад3_о;W27;2509
Склад3||Склад3_о;W28;2964
Склад3||Склад3_о;W29;2881
Склад3||Склад3_о;W30;3401
Склад3||Склад3_о;W31;3180
Склад3||Склад3_о;W32;3395
Склад3||Склад3_о;W33;3741
Склад3||Склад3_о;W34;2347
Склад3||Склад3_о;W35;3180
Склад3||Склад3_о;W36;2541
Склад3||Склад3_о;W37;3026
Склад3||Склад3_о;W38;2954
Склад3||Склад3_о;W39;1855
Склад3||Склад3_о;W40;2160
Склад3||Склад3_о;W41;2794
Склад3||Склад3_о;W42;3154
Склад3||Склад3_о;W43;3887
Склад3||Склад3_о;W44;2831
Склад3||Склад3_о;W45;3113
Склад3||Склад3_о;W46;3553
Склад3||Склад3_о;W47;2768
Склад3||Склад3_о;W48;4434
Склад3||Склад3_о;W49;3278
Склад3||Склад3_о;W50;3615
Склад3||Склад3_о;W51;5141
Склад3||Склад3_о;W52;2933
Склад3||Склад3_о;W53;117
Склад4||Склад4_о;W1;0
Склад4||Склад4_о;W2;1356
Склад4||Склад4_о;W3;2622
Склад4||Склад4_о;W4;2621
Склад4||Склад4_о;W5;1119
Склад4||Склад4_о;W6;1701
Склад4||Склад4_о;W7;1593
Склад4||Склад4_о;W8;2153
Склад4||Склад4_о;W9;1477
Склад4||Склад4_о;W10;1648
Склад4||Склад4_о;W11;1637
Склад4||Склад4_о;W12;2430
Склад4||Склад4_о;W13;2899
Склад4||Склад4_о;W14;2968
Склад4||Склад4_о;W15;2799
Склад4||Склад4_о;W16;2524
Склад4||Склад4_о;W17;3284
Склад4||Склад4_о;W18;1919
Склад4||Склад4_о;W19;2864
Склад4||Склад4_о;W20;2085
Склад4||Склад4_о;W21;2853
Склад4||Склад4_о;W22;3176
Склад4||Склад4_о;W23;1583
Склад4||Склад4_о;W24;1932
Склад4||Склад4_о;W25;1486
Склад4||Склад4_о;W26;1471
Склад4||Склад4_о;W27;2229
Склад4||Склад4_о;W28;1647
Склад4||Склад4_о;W29;2275
Склад4||Склад4_о;W30;1437
Склад4||Склад4_о;W31;897
Склад4||Склад4_о;W32;417
Склад4||Склад4_о;W33;699
Склад4||Склад4_о;W34;341
Склад4||Склад4_о;W35;668
Склад4||Склад4_о;W36;736
Склад4||Склад4_о;W37;1297
Склад4||Склад4_о;W38;1129
Склад4||Склад4_о;W39;1148
Склад4||Склад4_о;W40;904
Склад4||Склад4_о;W41;1135
Склад4||Склад4_о;W42;1050
Склад4||Склад4_о;W43;1224
Склад4||Склад4_о;W44;792
Склад4||Склад4_о;W45;984
Склад4||Склад4_о;W46;1034
Склад4||Склад4_о;W47;1234
Склад4||Склад4_о;W48;1569
Склад4||Склад4_о;W49;955
Склад4||Склад4_о;W50;525
Склад4||Склад4_о;W51;919
Склад4||Склад4_о;W52;244
Склад4||Склад4_о;W53;0
Склад5||Склад5_о;W1;0
Склад5||Склад5_о;W2;267
Склад5||Склад5_о;W3;2161
Склад5||Склад5_о;W4;2916
Склад5||Склад5_о;W5;3549
Склад5||Склад5_о;W6;3709
Склад5||Склад5_о;W7;2758
Склад5||Склад5_о;W8;4080
Склад5||Склад5_о;W9;2091
Склад5||Склад5_о;W10;2455
Склад5||Склад5_о;W11;2629
Склад5||Склад5_о;W12;1648
Склад5||Склад5_о;W13;1988
Склад5||Склад5_о;W14;2052
Склад5||Склад5_о;W15;2671
Склад5||Склад5_о;W16;3246
Склад5||Склад5_о;W17;3636
Склад5||Склад5_о;W18;2401
Склад5||Склад5_о;W19;2797
Склад5||Склад5_о;W20;4108
Склад5||Склад5_о;W21;3005
Склад5||Склад5_о;W22;3634
Склад5||Склад5_о;W23;3558
Склад5||Склад5_о;W24;4315
Склад5||Склад5_о;W25;2734
Склад5||Склад5_о;W26;4378
Склад5||Склад5_о;W27;3401
Склад5||Склад5_о;W28;3702
Склад5||Склад5_о;W29;3828
Склад5||Склад5_о;W30;4874
Склад5||Склад5_о;W31;4180
Склад5||Склад5_о;W32;5096
Склад5||Склад5_о;W33;4822
Склад5||Склад5_о;W34;5545
Склад5||Склад5_о;W35;5525
Склад5||Склад5_о;W36;3145
Склад5||Склад5_о;W37;4187
Склад5||Склад5_о;W38;4285
Склад5||Склад5_о;W39;3605
Склад5||Склад5_о;W40;4332
Склад5||Склад5_о;W41;4784
Склад5||Склад5_о;W42;4411
Склад5||Склад5_о;W43;2825
Склад5||Склад5_о;W44;3428
Склад5||Склад5_о;W45;4489
Склад5||Склад5_о;W46;3164
Склад5||Склад5_о;W47;2944
Склад5||Склад5_о;W48;2815
Склад5||Склад5_о;W49;1852
Склад5||Склад5_о;W50;2042
Склад5||Склад5_о;W51;1724
Склад5||Склад5_о;W52;1726
Склад5||Склад5_о;W53;104
Склад6||Склад6_о;W1;0
Склад6||Склад6_о;W2;0
Склад6||Склад6_о;W3;0
Склад6||Склад6_о;W4;0
Склад6||Склад6_о;W5;0
Склад6||Склад6_о;W6;0
Склад6||Склад6_о;W7;0
Склад6||Склад6_о;W8;0
Склад6||Склад6_о;W9;0
Склад6||Склад6_о;W10;0
Склад6||Склад6_о;W11;0
Склад6||Склад6_о;W12;0
Склад6||Склад6_о;W13;0
Склад6||Склад6_о;W14;0
Склад6||Склад6_о;W15;0
Склад6||Склад6_о;W16;0
Склад6||Склад6_о;W17;0
Склад6||Склад6_о;W18;0
Склад6||Склад6_о;W19;0
Склад6||Склад6_о;W20;0
Склад6||Склад6_о;W21;0
Склад6||Склад6_о;W22;0
Склад6||Склад6_о;W23;0
Склад6||Склад6_о;W24;0
Склад6||Склад6_о;W25;0
Склад6||Склад6_о;W26;0
Склад6||Склад6_о;W27;0
Склад6||Склад6_о;W28;0
Склад6||Склад6_о;W29;0
Склад6||Склад6_о;W30;0
Склад6||Склад6_о;W31;0
Склад6||Склад6_о;W32;0
Склад6||Склад6_о;W33;0
Склад6||Склад6_о;W34;0
Склад6||Склад6_о;W35;0
Склад6||Склад6_о;W36;0
Склад6||Склад6_о;W37;0
Склад6||Склад6_о;W38;0
Склад6||Склад6_о;W39;0
Склад6||Склад6_о;W40;0
Склад6||Склад6_о;W41;0
Склад6||Склад6_о;W42;0
Склад6||Склад6_о;W43;0
Склад6||Склад6_о;W44;0
Склад6||Склад6_о;W45;0
Склад6||Склад6_о;W46;0
Склад6||Склад6_о;W47;0
Склад6||Склад6_о;W48;0
Склад6||Склад6_о;W49;696
Склад6||Склад6_о;W50;500
Склад6||Склад6_о;W51;754
Склад6||Склад6_о;W52;547
Склад6||Склад6_о;W53;0
Склад7||Склад7_о;W1;17
Склад7||Склад7_о;W2;282
Склад7||Склад7_о;W3;4840
Склад7||Склад7_о;W4;5548
Склад7||Склад7_о;W5;6195
Склад7||Склад7_о;W6;5807
Склад7||Склад7_о;W7;5442
Склад7||Склад7_о;W8;4980
Склад7||Склад7_о;W9;5129
Склад7||Склад7_о;W10;4112
Склад7||Склад7_о;W11;3908
Склад7||Склад7_о;W12;5053
Склад7||Склад7_о;W13;4667
Склад7||Склад7_о;W14;4830
Склад7||Склад7_о;W15;3538
Склад7||Склад7_о;W16;4486
Склад7||Склад7_о;W17;4471
Склад7||Склад7_о;W18;5924
Склад7||Склад7_о;W19;5609
Склад7||Склад7_о;W20;4604
Склад7||Склад7_о;W21;4948
Склад7||Склад7_о;W22;4273
Склад7||Склад7_о;W23;4375
Склад7||Склад7_о;W24;4597
Склад7||Склад7_о;W25;4967
Склад7||Склад7_о;W26;4925
Склад7||Склад7_о;W27;5488
Склад7||Склад7_о;W28;5455
Склад7||Склад7_о;W29;4699
Склад7||Склад7_о;W30;4497
Склад7||Склад7_о;W31;4746
Склад7||Склад7_о;W32;5724
Склад7||Склад7_о;W33;5887
Склад7||Склад7_о;W34;5672
Склад7||Склад7_о;W35;5434
Склад7||Склад7_о;W36;5407
Склад7||Склад7_о;W37;5186
Склад7||Склад7_о;W38;5742
Склад7||Склад7_о;W39;6227
Склад7||Склад7_о;W40;5043
Склад7||Склад7_о;W41;4873
Склад7||Склад7_о;W42;4571
Склад7||Склад7_о;W43;4825
Склад7||Склад7_о;W44;4543
Склад7||Склад7_о;W45;4284
Склад7||Склад7_о;W46;4112
Склад7||Склад7_о;W47;3714
Склад7||Склад7_о;W48;2224
Склад7||Склад7_о;W49;3083
Склад7||Склад7_о;W50;2750
Склад7||Склад7_о;W51;2929
Склад7||Склад7_о;W52;1517
Склад7||Склад7_о;W53;271
Склад8||Склад8_о;W1;0
Склад8||Склад8_о;W2;0
Склад8||Склад8_о;W3;0
Склад8||Склад8_о;W4;0
Склад8||Склад8_о;W5;0
Склад8||Склад8_о;W6;0
Склад8||Склад8_о;W7;0
Склад8||Склад8_о;W8;0
Склад8||Склад8_о;W9;0
Склад8||Склад8_о;W10;0
Склад8||Склад8_о;W11;0
Склад8||Склад8_о;W12;0
Склад8||Склад8_о;W13;0
Склад8||Склад8_о;W14;0
Склад8||Склад8_о;W15;0
Склад8||Склад8_о;W16;0
Склад8||Склад8_о;W17;0
Склад8||Склад8_о;W18;0
Склад8||Склад8_о;W19;0
Склад8||Склад8_о;W20;0
Склад8||Склад8_о;W21;0
Склад8||Склад8_о;W22;0
Склад8||Склад8_о;W23;0
Склад8||Склад8_о;W24;0
Склад8||Склад8_о;W25;0
Склад8||Склад8_о;W26;0
Склад8||Склад8_о;W27;0
Склад8||Склад8_о;W28;0
Склад8||Склад8_о;W29;0
Склад8||Склад8_о;W30;0
Склад8||Склад8_о;W31;0
Склад8||Склад8_о;W32;0
Склад8||Склад8_о;W33;0
Склад8||Склад8_о;W34;0
Склад8||Склад8_о;W35;0
Склад8||Склад8_о;W36;0
Склад8||Склад8_о;W37;0
Склад8||Склад8_о;W38;0
Склад8||Склад8_о;W39;0
Склад8||Склад8_о;W40;0
Склад8||Склад8_о;W41;0
Склад8||Склад8_о;W42;0
Склад8||Склад8_о;W43;0
Склад8||Склад8_о;W44;0
Склад8||Склад8_о;W45;0
Склад8||Склад8_о;W46;0
Склад8||Склад8_о;W47;338
Склад8||Склад8_о;W48;1664
Склад8||Склад8_о;W49;1048
Склад8||Склад8_о;W50;1163
Склад8||Склад8_о;W51;1909
Склад8||Склад8_о;W52;1980
Склад8||Склад8_о;W53;20
Склад9||Склад9_о;W1;0
Склад9||Склад9_о;W2;0
Склад9||Склад9_о;W3;0
Склад9||Склад9_о;W4;0
Склад9||Склад9_о;W5;0
Склад9||Склад9_о;W6;0
Склад9||Склад9_о;W7;0
Склад9||Склад9_о;W8;0
Склад9||Склад9_о;W9;0
Склад9||Склад9_о;W10;0
Склад9||Склад9_о;W11;0
Склад9||Склад9_о;W12;0
Склад9||Склад9_о;W13;0
Склад9||Склад9_о;W14;0
Склад9||Склад9_о;W15;0
Склад9||Склад9_о;W16;0
Склад9||Склад9_о;W17;0
Склад9||Склад9_о;W18;0
Склад9||Склад9_о;W19;0
Склад9||Склад9_о;W20;0
Склад9||Склад9_о;W21;0
Склад9||Склад9_о;W22;0
Склад9||Склад9_о;W23;0
Склад9||Склад9_о;W24;0
Склад9||Склад9_о;W25;0
Склад9||Склад9_о;W26;0
Склад9||Склад9_о;W27;0
Склад9||Склад9_о;W28;0
Склад9||Склад9_о;W29;0
Склад9||Склад9_о;W30;0
Склад9||Склад9_о;W31;0
Склад9||Склад9_о;W32;0
Склад9||Склад9_о;W33;0
Склад9||Склад9_о;W34;0
Склад9||Склад9_о;W35;0
Склад9||Склад9_о;W36;0
Склад9||Склад9_о;W37;0
Склад9||Склад9_о;W38;0
Склад9||Склад9_о;W39;0
