
"Склады отгрузки";Weeks;Cubes
;;спрос2
Склад1||Склад1_о;W1;0
Склад1||Склад1_о;W2;0
Склад1||Склад1_о;W3;0
Склад1||Склад1_о;W4;0
Склад1||Склад1_о;W5;0
Склад1||Склад1_о;W6;0
Склад1||Склад1_о;W7;0
Склад1||Склад1_о;W8;0
Склад1||Склад1_о;W9;0
Склад1||Склад1_о;W10;0
Склад1||Склад1_о;W11;0
Склад1||Склад1_о;W12;0
Склад1||Склад1_о;W13;0
Склад1||Склад1_о;W14;0
Склад1||Склад1_о;W15;0
Склад1||Склад1_о;W16;-0
Склад1||Склад1_о;W17;0
Склад1||Склад1_о;W18;0
Склад1||Склад1_о;W19;0
Склад1||Склад1_о;W20;0
Склад1||Склад1_о;W21;0
Склад1||Склад1_о;W22;0
Склад1||Склад1_о;W23;0
Склад1||Склад1_о;W24;0
Склад1||Склад1_о;W25;0
Склад1||Склад1_о;W26;0
Склад1||Склад1_о;W27;0
Склад1||Склад1_о;W28;0
Склад1||Склад1_о;W29;0
Склад1||Склад1_о;W30;0
Склад1||Склад1_о;W31;0
Склад1||Склад1_о;W32;0
Склад1||Склад1_о;W33;0
Склад1||Склад1_о;W34;0
Склад1||Склад1_о;W35;0
Склад1||Склад1_о;W36;0
Склад1||Склад1_о;W37;0
Склад1||Склад1_о;W38;0
Склад1||Склад1_о;W39;0
Склад1||Склад1_о;W40;0
Склад1||Склад1_о;W41;0
Склад1||Склад1_о;W42;0
Склад1||Склад1_о;W43;0
Склад1||Склад1_о;W44;0
Склад1||Склад1_о;W45;0
Склад1||Склад1_о;W46;0
Склад1||Склад1_о;W47;0
Склад1||Склад1_о;W48;0
Склад1||Склад1_о;W49;0
Склад1||Склад1_о;W50;0
Склад1||Склад1_о;W51;0
Склад1||Склад1_о;W52;0
Склад1||Склад1_о;W53;0
Склад2||Склад2_о;W1;0
Склад2||Склад2_о;W2;0
Склад2||Склад2_о;W3;0
Склад2||Склад2_о;W4;0
Склад2||Склад2_о;W5;0
Склад2||Склад2_о;W6;0
Склад2||Склад2_о;W7;0
Склад2||Склад2_о;W8;0
Склад2||Склад2_о;W9;0
Склад2||Склад2_о;W10;0
Склад2||Склад2_о;W11;0
Склад2||Склад2_о;W12;0
Склад2||Склад2_о;W13;0
Склад2||Склад2_о;W14;0
Склад2||Склад2_о;W15;0
Склад2||Склад2_о;W16;0
Склад2||Склад2_о;W17;0
Склад2||Склад2_о;W18;0
Склад2||Склад2_о;W19;0
Склад2||Склад2_о;W20;0
Склад2||Склад2_о;W21;0
Склад2||Склад2_о;W22;0
Склад2||Склад2_о;W23;0
Склад2||Склад2_о;W24;0
Склад2||Склад2_о;W25;0
Склад2||Склад2_о;W26;0
Склад2||Склад2_о;W27;0
Склад2||Склад2_о;W28;0
Склад2||Склад2_о;W29;0
Склад2||Склад2_о;W30;0
Склад2||Склад2_о;W31;0
Склад2||Склад2_о;W32;0
Склад2||Склад2_о;W33;0
Склад2||Склад2_о;W34;0
Склад2||Склад2_о;W35;0
Склад2||Склад2_о;W36;0
Склад2||Склад2_о;W37;0
Склад2||Склад2_о;W38;0
Склад2||Склад2_о;W39;0
Склад2||Склад2_о;W40;0
Склад2||Склад2_о;W41;0
Склад2||Склад2_о;W42;0
Склад2||Склад2_о;W43;0
Склад2||Склад2_о;W44;0
Склад2||Склад2_о;W45;0
Склад2||Склад2_о;W46;0
Склад2||Склад2_о;W47;0
