
"Склады заводов";"Склады отгрузки";Cubes
;;distance
Склад5||Склад5_п;Склад1||Склад1_о;770
Склад5||Склад5_п;Склад2||Склад2_о;2240
Склад5||Склад5_п;Склад3||Склад3_о;2480
Склад5||Склад5_п;Склад4||Склад4_о;24
Склад5||Склад5_п;Склад5||Склад5_о;0
Склад5||Склад5_п;Склад6||Склад6_о;3
Склад5||Склад5_п;Склад7||Склад7_о;2450
Склад5||Склад5_п;Склад8||Склад8_о;1620
Склад5||Склад5_п;Склад9||Склад9_о;770
Склад5||Склад5_п;Склад10||Склад10_о;780
Склад5||Склад5_п;Склад11||Склад11_о;1620
Склад5||Склад5_п;Склад12||Склад12_о;71
Склад7||Склад7_п;Склад1||Склад1_о;1880
Склад7||Склад7_п;Склад2||Склад2_о;221
Склад7||Склад7_п;Склад3||Склад3_о;72
Склад7||Склад7_п;Склад4||Склад4_о;2430
Склад7||Склад7_п;Склад5||Склад5_о;2450
Склад7||Склад7_п;Склад6||Склад6_о;2450
Склад7||Склад7_п;Склад7||Склад7_о;0
Склад7||Склад7_п;Склад8||Склад8_о;1610
Склад7||Склад7_п;Склад9||Склад9_о;1840
Склад7||Склад7_п;Склад10||Склад10_о;1860
Склад7||Склад7_п;Склад11||Склад11_о;1610
Склад7||Склад7_п;Склад12||Склад12_о;2530
Склад10||Склад10_п;Склад1||Склад1_о;59
Склад10||Склад10_п;Склад2||Склад2_о;1880
Склад10||Склад10_п;Склад3||Склад3_о;1870
Склад10||Склад10_п;Склад4||Склад4_о;780
Склад10||Склад10_п;Склад5||Склад5_о;780
Склад10||Склад10_п;Склад6||Склад6_о;780
Склад10||Склад10_п;Склад7||Склад7_о;1860
Склад10||Склад10_п;Склад8||Склад8_о;950
Склад10||Склад10_п;Склад9||Склад9_о;49
Склад10||Склад10_п;Склад10||Склад10_о;0
Склад10||Склад10_п;Склад11||Склад11_о;950
Склад10||Склад10_п;Склад12||Склад12_о;880
Склад11||Склад11_п;Склад1||Склад1_о;970
Склад11||Склад11_п;Склад2||Склад2_о;1110
Склад11||Склад11_п;Склад3||Склад3_о;1020
Склад11||Склад11_п;Склад4||Склад4_о;1610
Склад11||Склад11_п;Склад5||Склад5_о;1620
Склад11||Склад11_п;Склад6||Склад6_о;1610
Склад11||Склад11_п;Склад7||Склад7_о;1610
Склад11||Склад11_п;Склад8||Склад8_о;0
Склад11||Склад11_п;Склад9||Склад9_о;970
Склад11||Склад11_п;Склад10||Склад10_о;940
Склад11||Склад11_п;Склад11||Склад11_о;0
Склад11||Склад11_п;Склад12||Склад12_о;1700
Склад12||Склад12_п;Склад1||Склад1_о;840
Склад12||Склад12_п;Склад2||Склад2_о;2330
Склад12||Склад12_п;Склад3||Склад3_о;2560
Склад12||Склад12_п;Склад4||Склад4_о;92
Склад12||Склад12_п;Склад5||Склад5_о;71
Склад12||Склад12_п;Склад6||Склад6_о;70
Склад12||Склад12_п;Склад7||Склад7_о;2530
Склад12||Склад12_п;Склад8||Склад8_о;1700
Склад12||Склад12_п;Склад9||Склад9_о;830
Склад12||Склад12_п;Склад10||Склад10_о;880
Склад12||Склад12_п;Склад11||Склад11_о;1700
Склад12||Склад12_п;Склад12||Склад12_о;0
