
"Склады заводов";Продукция;Weeks;Cubes
;;;количество
Склад5||Склад5_п;Б1;W1;0
Склад5||Склад5_п;Б1;W2;0
Склад5||Склад5_п;Б1;W3;0
Склад5||Склад5_п;Б1;W4;0
Склад5||Склад5_п;Б1;W5;0
Склад5||Склад5_п;Б1;W6;0
Склад5||Склад5_п;Б1;W7;0
Склад5||Склад5_п;Б1;W8;0
Склад5||Склад5_п;Б1;W9;0
Склад5||Склад5_п;Б1;W10;0
Склад5||Склад5_п;Б1;W11;0
Склад5||Склад5_п;Б1;W12;0
Склад5||Склад5_п;Б1;W13;0
Склад5||Склад5_п;Б1;W14;0
Склад5||Склад5_п;Б1;W15;0
Склад5||Склад5_п;Б1;W16;0
Склад5||Склад5_п;Б1;W17;0
Склад5||Склад5_п;Б1;W18;0
Склад5||Склад5_п;Б1;W19;0
Склад5||Склад5_п;Б1;W20;0
Склад5||Склад5_п;Б1;W21;0
Склад5||Склад5_п;Б1;W22;0
Склад5||Склад5_п;Б1;W23;0
Склад5||Склад5_п;Б1;W24;0
Склад5||Склад5_п;Б1;W25;0
Склад5||Склад5_п;Б1;W26;0
Склад5||Склад5_п;Б1;W27;0
Склад5||Склад5_п;Б1;W28;0
Склад5||Склад5_п;Б1;W29;0
Склад5||Склад5_п;Б1;W30;0
Склад5||Склад5_п;Б1;W31;0
Склад5||Склад5_п;Б1;W32;0
Склад5||Склад5_п;Б1;W33;0
Склад5||Склад5_п;Б1;W34;0
Склад5||Склад5_п;Б1;W35;0
Склад5||Склад5_п;Б1;W36;0
Склад5||Склад5_п;Б1;W37;0
Склад5||Склад5_п;Б1;W38;0
Склад5||Склад5_п;Б1;W39;0
Склад5||Склад5_п;Б1;W40;0
Склад5||Склад5_п;Б1;W41;0
Склад5||Склад5_п;Б1;W42;0
Склад5||Склад5_п;Б1;W43;0
Склад5||Склад5_п;Б1;W44;0
Склад5||Склад5_п;Б1;W45;0
Склад5||Склад5_п;Б1;W46;0
Склад5||Склад5_п;Б1;W47;0
Склад5||Склад5_п;Б1;W48;0
Склад5||Склад5_п;Б1;W49;0
Склад5||Склад5_п;Б1;W50;0
Склад5||Склад5_п;Б1;W51;0
Склад5||Склад5_п;Б1;W52;0
Склад5||Склад5_п;Б1;W53;0
Склад5||Склад5_п;Б2;W1;0
Склад5||Склад5_п;Б2;W2;0
