week,factory,warehouse,product,amount
W18,Склад5||Склад5_п,Склад4||Склад4_о,Б4,536.0
W45,Склад5||Склад5_п,Склад4||Склад4_о,Б4,192.0
W46,Склад5||Склад5_п,Склад4||Склад4_о,Б4,105.0
W47,Склад5||Склад5_п,Склад4||Склад4_о,Б4,285.0
W48,Склад5||Склад5_п,Склад4||Склад4_о,Б4,1569.0
W2,Склад5||Склад5_п,Склад4||Склад4_о,Б5,1356.0
W7,Склад5||Склад5_п,Склад4||Склад4_о,Б5,984.0
W18,Склад5||Склад5_п,Склад4||Склад4_о,Б5,141.0
W46,Склад5||Склад5_п,Склад4||Склад4_о,Б5,534.0
W47,Склад5||Склад5_п,Склад4||Склад4_о,Б5,695.0
W50,Склад5||Склад5_п,Склад4||Склад4_о,Б5,525.0
W9,Склад5||Склад5_п,Склад4||Склад4_о,Б6,3.0
W5,Склад5||Склад5_п,Склад5||Склад5_о,Б4,2420.0
W6,Склад5||Склад5_п,Склад5||Склад5_о,Б4,2010.0
W7,Склад5||Склад5_п,Склад5||Склад5_о,Б4,616.0
W9,Склад5||Склад5_п,Склад5||Склад5_о,Б4,2091.0
W14,Склад5||Склад5_п,Склад5||Склад5_о,Б4,194.0
W16,Склад5||Склад5_п,Склад5||Склад5_о,Б4,1802.0
W17,Склад5||Склад5_п,Склад5||Склад5_о,Б4,560.0
W18,Склад5||Склад5_п,Склад5||Склад5_о,Б4,2401.0
W28,Склад5||Склад5_п,Склад5||Склад5_о,Б4,53.0
W29,Склад5||Склад5_п,Склад5||Склад5_о,Б4,1735.0
W30,Склад5||Склад5_п,Склад5||Склад5_о,Б4,3134.0
W31,Склад5||Склад5_п,Склад5||Склад5_о,Б4,1828.0
W32,Склад5||Склад5_п,Склад5||Склад5_о,Б4,2577.0
W33,Склад5||Склад5_п,Склад5||Склад5_о,Б4,2468.0
W34,Склад5||Склад5_п,Склад5||Склад5_о,Б4,2808.0
W35,Склад5||Склад5_п,Склад5||Склад5_о,Б4,119.0
W39,Склад5||Склад5_п,Склад5||Склад5_о,Б4,98.0
W40,Склад5||Склад5_п,Склад5||Склад5_о,Б4,2272.0
W45,Склад5||Склад5_п,Склад5||Склад5_о,Б4,638.0
W48,Склад5||Склад5_п,Склад5||Склад5_о,Б4,1261.0
W53,Склад5||Склад5_п,Склад5||Склад5_о,Б4,104.0
W2,Склад5||Склад5_п,Склад5||Склад5_о,Б5,267.0
W7,Склад5||Склад5_п,Склад5||Склад5_о,Б5,2142.0
W8,Склад5||Склад5_п,Склад5||Склад5_о,Б5,1407.0
W10,Склад5||Склад5_п,Склад5||Склад5_о,Б5,1736.0
W11,Склад5||Склад5_п,Склад5||Склад5_о,Б5,905.0
W12,Склад5||Склад5_п,Склад5||Склад5_о,Б5,1273.0
W15,Склад5||Склад5_п,Склад5||Склад5_о,Б5,542.0
W19,Склад5||Склад5_п,Склад5||Склад5_о,Б5,410.0
W20,Склад5||Склад5_п,Склад5||Склад5_о,Б5,2516.0
W21,Склад5||Склад5_п,Склад5||Склад5_о,Б5,798.0
W24,Склад5||Склад5_п,Склад5||Склад5_о,Б5,1642.0
W26,Склад5||Склад5_п,Склад5||Склад5_о,Б5,1586.0
W27,Склад5||Склад5_п,Склад5||Склад5_о,Б5,534.0
W30,Склад5||Склад5_п,Склад5||Склад5_о,Б5,433.0
W33,Склад5||Склад5_п,Склад5||Склад5_о,Б5,730.0
W34,Склад5||Склад5_п,Склад5||Склад5_о,Б5,961.0
W35,Склад5||Склад5_п,Склад5||Склад5_о,Б5,3980.0
W36,Склад5||Склад5_п,Склад5||Склад5_о,Б5,2252.0
W37,Склад5||Склад5_п,Склад5||Склад5_о,Б5,1595.0
W38,Склад5||Склад5_п,Склад5||Склад5_о,Б5,2889.0
W41,Склад5||Склад5_п,Склад5||Склад5_о,Б5,1642.0
W42,Склад5||Склад5_п,Склад5||Склад5_о,Б5,2706.0
W44,Склад5||Склад5_п,Склад5||Склад5_о,Б5,2481.0
W45,Склад5||Склад5_п,Склад5||Склад5_о,Б5,3851.0
W46,Склад5||Склад5_п,Склад5||Склад5_о,Б5,3164.0
W47,Склад5||Склад5_п,Склад5||Склад5_о,Б5,2944.0
W48,Склад5||Склад5_п,Склад5||Склад5_о,Б5,1554.0
W49,Склад5||Склад5_п,Склад5||Склад5_о,Б5,1852.0
W50,Склад5||Склад5_п,Склад5||Склад5_о,Б5,2042.0
W51,Склад5||Склад5_п,Склад5||Склад5_о,Б5,1724.0
W52,Склад5||Склад5_п,Склад5||Склад5_о,Б5,1726.0
W8,Склад5||Склад5_п,Склад5||Склад5_о,Б6,1834.0
W22,Склад5||Склад5_п,Склад5||Склад5_о,Б6,265.0
W23,Склад5||Склад5_п,Склад5||Склад5_о,Б6,189.0
W37,Склад5||Склад5_п,Склад5||Склад5_о,Б6,1879.0
W38,Склад5||Склад5_п,Склад5||Склад5_о,Б6,385.0
W50,Склад5||Склад5_п,Склад6||Склад6_о,Б4,500.0
W51,Склад5||Склад5_п,Склад6||Склад6_о,Б4,255.0
W52,Склад5||Склад5_п,Склад6||Склад6_о,Б4,195.0
W49,Склад5||Склад5_п,Склад6||Склад6_о,Б5,399.0
W4,Склад5||Склад5_п,Склад12||Склад12_о,Б4,1756.0
W5,Склад5||Склад5_п,Склад12||Склад12_о,Б4,201.0
W6,Склад5||Склад5_п,Склад12||Склад12_о,Б4,182.0
W8,Склад5||Склад5_п,Склад12||Склад12_о,Б4,1297.0
W9,Склад5||Склад5_п,Склад12||Склад12_о,Б4,602.0
W10,Склад5||Склад5_п,Склад12||Склад12_о,Б4,2457.0
W11,Склад5||Склад5_п,Склад12||Склад12_о,Б4,2557.0
W12,Склад5||Склад5_п,Склад12||Склад12_о,Б4,188.0
W13,Склад5||Склад5_п,Склад12||Склад12_о,Б4,1716.0
W14,Склад5||Склад5_п,Склад12||Склад12_о,Б4,2247.0
W15,Склад5||Склад5_п,Склад12||Склад12_о,Б4,2407.0
W16,Склад5||Склад5_п,Склад12||Склад12_о,Б4,792.0
W17,Склад5||Склад5_п,Склад12||Склад12_о,Б4,2016.0
W19,Склад5||Склад5_п,Склад12||Склад12_о,Б4,2621.0
W20,Склад5||Склад5_п,Склад12||Склад12_о,Б4,2816.0
W21,Склад5||Склад5_п,Склад12||Склад12_о,Б4,538.0
W23,Склад5||Склад5_п,Склад12||Склад12_о,Б4,905.0
W24,Склад5||Склад5_п,Склад12||Склад12_о,Б4,2541.0
W25,Склад5||Склад5_п,Склад12||Склад12_о,Б4,2313.0
W26,Склад5||Склад5_п,Склад12||Склад12_о,Б4,2728.0
W27,Склад5||Склад5_п,Склад12||Склад12_о,Б4,2757.0
W28,Склад5||Склад5_п,Склад12||Склад12_о,Б4,2583.0
W29,Склад5||Склад5_п,Склад12||Склад12_о,Б4,431.0
W31,Склад5||Склад5_п,Склад12||Склад12_о,Б4,847.0
W32,Склад5||Склад5_п,Склад12||Склад12_о,Б4,132.0
W35,Склад5||Склад5_п,Склад12||Склад12_о,Б4,2408.0
W36,Склад5||Склад5_п,Склад12||Склад12_о,Б4,2174.0
W37,Склад5||Склад5_п,Склад12||Склад12_о,Б4,766.0
W38,Склад5||Склад5_п,Склад12||Склад12_о,Б4,1916.0
W39,Склад5||Склад5_п,Склад12||Склад12_о,Б4,2202.0
W40,Склад5||Склад5_п,Склад12||Склад12_о,Б4,403.0
W41,Склад5||Склад5_п,Склад12||Склад12_о,Б4,2519.0
W42,Склад5||Склад5_п,Склад12||Склад12_о,Б4,2666.0
W43,Склад5||Склад5_п,Склад12||Склад12_о,Б4,1952.0
W44,Склад5||Склад5_п,Склад12||Склад12_о,Б4,2744.0
W45,Склад5||Склад5_п,Склад12||Склад12_о,Б4,1648.0
W46,Склад5||Склад5_п,Склад12||Склад12_о,Б4,2779.0
W47,Склад5||Склад5_п,Склад12||Склад12_о,Б4,2538.0
W49,Склад5||Склад5_п,Склад12||Склад12_о,Б4,2154.0
W50,Склад5||Склад5_п,Склад12||Склад12_о,Б4,1073.0
W51,Склад5||Склад5_п,Склад12||Склад12_о,Б4,2210.0
W52,Склад5||Склад5_п,Склад12||Склад12_о,Б4,2838.0
