factory,product,week,production,unplaced,penalty
Склад5||Склад5_п,Б4,W53,844.0,844.0,216064000.0
Склад5||Склад5_п,Б5,W1,1227.0,1210.0,309760000.0
Склад5||Склад5_п,Б5,W2,4245.0,4245.0,1086720000.0
Склад5||Склад5_п,Б5,W53,858.0,858.0,219648000.0
Склад5||Склад5_п,Б6,W2,591.0,591.0,151296000.0
Склад7||Склад7_п,Б5,W2,6332.0,1227.0,314112000.0
Склад7||Склад7_п,Б5,W53,2161.0,1583.0,405248000.0
Склад10||Склад10_п,Б2,W5,1658.0,1658.0,424448000.0
Склад10||Склад10_п,Б2,W7,739.0,739.0,189184000.0
Склад10||Склад10_п,Б5,W1,174.0,174.0,44544000.0
Склад10||Склад10_п,Б5,W2,9120.0,9120.0,2334720000.0
Склад10||Склад10_п,Б5,W3,8536.0,415.0,106240000.0
Склад10||Склад10_п,Б5,W5,7763.0,9.0,2304000.0
Склад10||Склад10_п,Б5,W7,6803.0,343.0,87808000.0
Склад10||Склад10_п,Б5,W8,7529.0,2093.0,535808000.0
Склад10||Склад10_п,Б5,W9,9197.0,3517.0,900352000.0
Склад10||Склад10_п,Б5,W10,9830.0,739.0,189184000.0
Склад10||Склад10_п,Б5,W11,9916.0,3227.0,826112000.0
Склад10||Склад10_п,Б5,W12,10455.0,712.0,182272000.0
Склад10||Склад10_п,Б5,W18,7967.0,377.0,96512000.0
Склад10||Склад10_п,Б5,W46,7946.0,556.0,142336000.0
Склад10||Склад10_п,Б5,W50,11708.0,2228.0,570368000.0
Склад10||Склад10_п,Б5,W52,10702.0,3765.0,963840000.0
Склад10||Склад10_п,Б5,W53,2536.0,2536.0,649216000.0
Склад10||Склад10_п,Б7,W2,695.0,695.0,177920000.0
Склад10||Склад10_п,Б7,W3,142.0,142.0,36352000.0
Склад10||Склад10_п,Б7,W5,1013.0,1013.0,259328000.0
Склад10||Склад10_п,Б7,W18,657.0,657.0,168192000.0
Склад10||Склад10_п,Б7,W48,1440.0,208.0,53248000.0
Склад10||Склад10_п,К2,W2,131.0,131.0,33536000.0
Склад10||Склад10_п,К2,W3,236.0,236.0,60416000.0
Склад10||Склад10_п,К2,W5,574.0,574.0,146944000.0
Склад10||Склад10_п,К2,W7,235.0,235.0,60160000.0
Склад10||Склад10_п,К2,W10,64.0,64.0,16384000.0
Склад10||Склад10_п,К2,W50,532.0,532.0,136192000.0
Склад10||Склад10_п,К2,W52,829.0,829.0,212224000.0
Склад10||Склад10_п,К2,W53,261.0,261.0,66816000.0
Склад11||Склад11_п,Б5,W11,151.0,151.0,38656000.0
Склад11||Склад11_п,Б5,W12,612.0,612.0,156672000.0
Склад11||Склад11_п,Б5,W15,1385.0,237.0,60672000.0
Склад11||Склад11_п,Б5,W16,1570.0,293.0,75008000.0
Склад11||Склад11_п,Б5,W18,1806.0,1806.0,462336000.0
Склад11||Склад11_п,Б5,W26,3558.0,85.0,21760000.0
Склад11||Склад11_п,Б5,W34,4181.0,767.0,196352000.0
Склад11||Склад11_п,Б5,W35,4550.0,2233.0,571648000.0
Склад11||Склад11_п,Б5,W37,4942.0,294.0,75264000.0
Склад11||Склад11_п,Б5,W38,4256.0,1354.0,346624000.0
Склад11||Склад11_п,Б5,W40,4675.0,2951.0,755456000.0
Склад11||Склад11_п,Б5,W42,4978.0,3931.0,1006336000.0
Склад11||Склад11_п,Б5,W44,5150.0,369.0,94464000.0
Склад11||Склад11_п,Б5,W45,5513.0,141.0,36096000.0
Склад11||Склад11_п,Б5,W46,5370.0,5370.0,1374720000.0
Склад11||Склад11_п,Б5,W47,5263.0,4648.0,1189888000.0
Склад11||Склад11_п,Б5,W48,5378.0,5378.0,1376768000.0
Склад11||Склад11_п,Б5,W49,5026.0,2312.0,591872000.0
Склад11||Склад11_п,Б5,W50,4933.0,4933.0,1262848000.0
Склад11||Склад11_п,Б5,W51,5377.0,3749.0,959744000.0
Склад11||Склад11_п,Б5,W52,5327.0,5327.0,1363712000.0
Склад11||Склад11_п,Б5,W53,1238.0,1238.0,316928000.0
