week,total_demand,unsatisfied,penalty
W4,23923.0,104.0,210080.0
W6,24145.0,234.0,472680.0
W13,30036.0,953.0,1925060.0
W14,27246.0,4257.0,8599140.0
W17,32009.0,3265.0,6595300.0
W19,29811.0,5334.0,10774680.0
W20,28713.0,1507.0,3044140.0
W21,30151.0,393.0,793860.0
W22,33141.0,3082.0,6225640.0
W23,28597.0,1278.0,2581560.0
W24,31037.0,3538.0,7146760.0
W25,32334.0,4485.0,9059700.0
W27,33296.0,6373.0,12873460.0
W28,34143.0,6293.0,12711860.0
W29,31041.0,3094.0,6249880.0
W30,30227.0,3054.0,6169080.0
W31,28643.0,567.0,1145340.0
W32,29686.0,1679.0,3391580.0
W33,30709.0,1512.0,3054240.0
W36,26094.0,11.0,22220.0
W39,31636.0,3430.0,6928600.0
W41,27872.0,1933.0,3904660.0
W43,32770.0,4983.0,10065660.0
