warehouse,week,load,capacity,load_percentage,demand,unsatisfied_demand
Склад1||Склад1_о,W1,0.0,20000.0,0.0,0.0,0.0
Склад1||Склад1_о,W2,0.0,20000.0,0.0,0.0,0.0
Склад1||Склад1_о,W3,53.0,20000.0,0.27,53.0,0.0
Склад1||Склад1_о,W4,526.0,20000.0,2.63,526.0,0.0
Склад1||Склад1_о,W5,338.0,20000.0,1.69,338.0,0.0
Склад1||Склад1_о,W6,698.0,20000.0,3.49,698.0,0.0
Склад1||Склад1_о,W7,1176.0,20000.0,5.88,1176.0,0.0
Склад1||Склад1_о,W8,1851.0,20000.0,9.25,1851.0,0.0
Склад1||Склад1_о,W9,1452.0,20000.0,7.26,1452.0,0.0
Склад1||Склад1_о,W10,787.0,20000.0,3.94,787.0,0.0
Склад1||Склад1_о,W11,766.0,20000.0,3.83,766.0,0.0
Склад1||Склад1_о,W12,1558.0,20000.0,7.79,1558.0,0.0
Склад1||Склад1_о,W13,2644.0,20000.0,13.22,2644.0,0.0
Склад1||Склад1_о,W14,2192.0,20000.0,10.96,2192.0,0.0
Склад1||Склад1_о,W15,1654.0,20000.0,8.27,1654.0,0.0
Склад1||Склад1_о,W16,2018.0,20000.0,10.09,2018.0,0.0
Склад1||Склад1_о,W17,2137.0,20000.0,10.69,2137.0,0.0
Склад1||Склад1_о,W18,1250.0,20000.0,6.25,1250.0,0.0
Склад1||Склад1_о,W19,2299.0,20000.0,11.49,2299.0,0.0
Склад1||Склад1_о,W20,2485.0,20000.0,12.43,2485.0,0.0
Склад1||Склад1_о,W21,3593.0,20000.0,17.96,3593.0,0.0
Склад1||Склад1_о,W22,1652.0,20000.0,8.26,1652.0,0.0
Склад1||Склад1_о,W23,1818.0,20000.0,9.09,1818.0,0.0
Склад1||Склад1_о,W24,2404.0,20000.0,12.02,2404.0,0.0
Склад1||Склад1_о,W25,1598.0,20000.0,7.99,1598.0,0.0
Склад1||Склад1_о,W26,1624.0,20000.0,8.12,1624.0,0.0
Склад1||Склад1_о,W27,1492.0,20000.0,7.46,1492.0,0.0
Склад1||Склад1_о,W28,1608.0,20000.0,8.04,1608.0,0.0
Склад1||Склад1_о,W29,1222.0,20000.0,6.11,1222.0,0.0
Склад1||Склад1_о,W30,1089.0,20000.0,5.45,1089.0,0.0
Склад1||Склад1_о,W31,198.0,20000.0,0.99,198.0,0.0
Склад1||Склад1_о,W32,424.0,20000.0,2.12,424.0,0.0
Склад1||Склад1_о,W33,605.0,20000.0,3.02,605.0,0.0
Склад1||Склад1_о,W34,283.0,20000.0,1.42,283.0,0.0
Склад1||Склад1_о,W35,0.0,20000.0,0.0,0.0,0.0
Склад1||Склад1_о,W36,0.0,20000.0,0.0,0.0,0.0
Склад1||Склад1_о,W37,0.0,20000.0,0.0,0.0,0.0
Склад1||Склад1_о,W38,0.0,20000.0,0.0,0.0,0.0
Склад1||Склад1_о,W39,0.0,20000.0,0.0,0.0,0.0
Склад1||Склад1_о,W40,0.0,20000.0,0.0,0.0,0.0
Склад1||Склад1_о,W41,0.0,20000.0,0.0,0.0,0.0
Склад1||Склад1_о,W42,0.0,20000.0,0.0,0.0,0.0
Склад1||Склад1_о,W43,0.0,20000.0,0.0,0.0,0.0
Склад1||Склад1_о,W44,0.0,20000.0,0.0,0.0,0.0
Склад1||Склад1_о,W45,0.0,20000.0,0.0,0.0,0.0
Склад1||Склад1_о,W46,0.0,20000.0,0.0,0.0,0.0
Склад1||Склад1_о,W47,0.0,20000.0,0.0,0.0,0.0
Склад1||Склад1_о,W48,0.0,20000.0,0.0,0.0,0.0
Склад1||Склад1_о,W49,0.0,20000.0,0.0,0.0,0.0
Склад1||Склад1_о,W50,0.0,20000.0,0.0,0.0,0.0
Склад1||Склад1_о,W51,0.0,20000.0,0.0,0.0,0.0
Склад1||Склад1_о,W52,0.0,20000.0,0.0,0.0,0.0
Склад1||Склад1_о,W53,0.0,20000.0,0.0,0.0,0.0
Склад2||Склад2_о,W1,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W2,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W3,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W4,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W5,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W6,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W7,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W8,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W9,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W10,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W11,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W12,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W13,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W14,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W15,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W16,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W17,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W18,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W19,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W20,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W21,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W22,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W23,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W24,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W25,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W26,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W27,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W28,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W29,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W30,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W31,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W32,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W33,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W34,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W35,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W36,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W37,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W38,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W39,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W40,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W41,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W42,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W43,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W44,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W45,0.0,8589.0,0.0,0.0,0.0
Склад2||Склад2_о,W46,20.0,8589.0,0.23,20.0,0.0
Склад2||Склад2_о,W47,458.0,8589.0,5.33,458.0,0.0
Склад2||Склад2_о,W48,1374.0,8589.0,16.0,1374.0,0.0
Склад2||Склад2_о,W49,2096.0,8589.0,24.4,2096.0,0.0
Склад2||Склад2_о,W50,1692.0,8589.0,19.7,1692.0,0.0
Склад2||Склад2_о,W51,862.0,8589.0,10.04,862.0,0.0
Склад2||Склад2_о,W52,593.0,8589.0,6.9,593.0,0.0
Склад2||Склад2_о,W53,0.0,8589.0,0.0,0.0,0.0
Склад3||Склад3_о,W1,0.0,12000.0,0.0,0.0,0.0
Склад3||Склад3_о,W2,343.0,12000.0,2.86,343.0,0.0
Склад3||Склад3_о,W3,1915.0,12000.0,15.96,1915.0,0.0
Склад3||Склад3_о,W4,1691.0,12000.0,14.09,1691.0,0.0
Склад3||Склад3_о,W5,2162.0,12000.0,18.02,2162.0,0.0
Склад3||Склад3_о,W6,2087.0,12000.0,17.39,2087.0,0.0
Склад3||Склад3_о,W7,2417.0,12000.0,20.14,2417.0,0.0
Склад3||Склад3_о,W8,3260.0,12000.0,27.17,3260.0,0.0
Склад3||Склад3_о,W9,2844.0,12000.0,23.7,2844.0,0.0
Склад3||Склад3_о,W10,3391.0,12000.0,28.26,3391.0,0.0
Склад3||Склад3_о,W11,2508.0,12000.0,20.9,2508.0,0.0
Склад3||Склад3_о,W12,3389.0,12000.0,28.24,3389.0,0.0
Склад3||Склад3_о,W13,4419.0,12000.0,36.83,4419.0,0.0
Склад3||Склад3_о,W14,3579.0,12000.0,29.83,3579.0,0.0
Склад3||Склад3_о,W15,2485.0,12000.0,20.71,2485.0,0.0
Склад3||Склад3_о,W16,3607.0,12000.0,30.06,3607.0,0.0
Склад3||Склад3_о,W17,5108.0,12000.0,42.57,5108.0,0.0
Склад3||Склад3_о,W18,4110.0,12000.0,34.25,4110.0,0.0
Склад3||Склад3_о,W19,3352.0,12000.0,27.93,3352.0,0.0
Склад3||Склад3_о,W20,3850.0,12000.0,32.08,4012.0,162.0
Склад3||Склад3_о,W21,3546.0,12000.0,29.55,3546.0,0.0
Склад3||Склад3_о,W22,4644.0,12000.0,38.7,4644.0,0.0
Склад3||Склад3_о,W23,4202.0,12000.0,35.02,4202.0,0.0
Склад3||Склад3_о,W24,3165.0,12000.0,26.38,5126.0,1961.0
Склад3||Склад3_о,W25,3134.0,12000.0,26.12,3469.0,335.0
Склад3||Склад3_о,W26,4242.0,12000.0,35.35,4242.0,0.0
Склад3||Склад3_о,W27,2509.0,12000.0,20.91,2509.0,0.0
Склад3||Склад3_о,W28,2964.0,12000.0,24.7,2964.0,0.0
Склад3||Склад3_о,W29,2881.0,12000.0,24.01,2881.0,0.0
Склад3||Склад3_о,W30,3401.0,12000.0,28.34,3401.0,0.0
Склад3||Склад3_о,W31,3180.0,12000.0,26.5,3180.0,0.0
Склад3||Склад3_о,W32,3395.0,12000.0,28.29,3395.0,0.0
Склад3||Склад3_о,W33,3741.0,12000.0,31.18,3741.0,0.0
Склад3||Склад3_о,W34,2347.0,12000.0,19.56,2347.0,0.0
Склад3||Склад3_о,W35,3180.0,12000.0,26.5,3180.0,0.0
Склад3||Склад3_о,W36,2541.0,12000.0,21.18,2541.0,0.0
Склад3||Склад3_о,W37,3026.0,12000.0,25.22,3026.0,0.0
Склад3||Склад3_о,W38,2954.0,12000.0,24.62,2954.0,0.0
Склад3||Склад3_о,W39,1855.0,12000.0,15.46,1855.0,0.0
Склад3||Склад3_о,W40,2160.0,12000.0,18.0,2160.0,0.0
